□ 2023년말 보호수 지정 세부현황,,,,,,,,,,,,,,,,,,,,,,,
,,,보호수 본수,13870,,,,,,,,,,,,,,,,,,,
,,,보호수 수종 개수,153.99999999997078,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1.지정정보,,,,,2.명칭정보,,,3.위치정보,,,,4.관리정보,5.개체정보,,,,,,,,,,
지정기관,지정번호,지정본수,지정유형,세부지정유형,대분류,수종명(국명),수종명(학명),시군구명,세부 주소,지목유형,생육지형,지정일,지정일기준수령(년),2023년기준수령(년),수고(cm),흉고직경(cm),흉고둘레(cm),,,,,,
서울특별시,서5-2,1,노거목,풍치목,느티나무,느티나무,Sawleaf Zelkova ,광진구,구의동 9,종교,평탄지,1982.10.20,365,406,1950,41,129,,,,,,
서울특별시,서5-3,1,노거목,당산목,향나무,향나무,Juniperus chinensis,광진구,능동 367-2,공원,평탄지,2000.12.20,450,473,1300,22,69,,,,,,
서울특별시,서5-4,1,노거목,정자목,느티나무,느티나무,Sawleaf Zelkova ,광진구,화양동 110-32,공원,평탄지,2005.07.21,300,318,1639.9999999999998,37,117,,,,,,
서울특별시,서6-1,1,노거목,명목,향나무,향나무,Juniperus chinensis L.,동대문구,전농2동 150-1,공원,평탄지,1981.10.27,515,557,720,105,330,,,,,,
서울특별시,서6-2,1,노거목,당산목,느티나무,느티나무,Zelkova serrata (Thunb.) Makino,동대문구,답십리1동 1004-4,공원,평탄지,1981.10.27,315,357,2000,108,340,,,,,,
서울특별시,서6-3,1,노거목,당산목,기타,물푸레나무,Fraxinus rhynchophylla Hance,동대문구,전농1동 270-41,공원,평탄지,2000.12.20,270,293,600,101,318,,,,,,
서울특별시,서6-4,1,노거목,풍치목,기타,비술나무,Ulmus pumila L.,동대문구,이문1동 371-1,도로,평탄지,2005.07.21,90,108,1440,93,292,,,,,,
서울특별시,서7-1,1,노거목,정자목,느티나무,느티나무,Zelkova serrata,중랑구,면목본동 213-3,대지,충적대지,1981.10.27,135,177,1500,101,320,,,,,,
서울특별시,서8-2,1,노거목,정자목,느티나무,느티나무,Zelkova serrata,성북구,정릉동 508,임야,경사지,1968.07.03,330,385,2100,114,360,,,,,,
서울특별시,서8-3,1,노거목,풍치목,느티나무,느티나무,Zelkova serrata,성북구,정릉동 508,임야,경사지,1968.07.03,330,385,1600,105,330,,,,,,
서울특별시,서8-4,1,노거목,풍치목,느티나무,느티나무,Zelkova serrata,성북구,돈암동 595,대지,평탄지,1968.07.03,350,405,1000,76,240,,,,,,
